seq,pos,arm,affinity,wall_s,user_s,sys_s,major,minor,rss_kib,vol_ctx,invol_ctx,fs_inputs,fs_outputs,read_sectors,device_read_gib,pre_temp_c,post_temp_c,gate_busy_pct,hash
1,1,A,0,47.01,272.56,8.43,91395,149192,7049628,187286,8086,86889088,120,87104360,41.534595,52.0,63.0,1,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
1,2,B,slot,46.76,279.74,7.94,80757,144628,7075264,182349,8442,84866344,104,85011120,40.536461,57.0,66.0,0,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
2,1,B,slot,46.69,273.46,7.77,85042,148312,7073812,183590,8368,85644256,104,85912648,40.966343,57.0,65.0,7,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
2,2,A,0,46.41,279.27,8.39,83245,147998,7080712,183621,7191,85307592,112,85490784,40.765182,60.0,67.0,1,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
3,1,A,0,45.70,271.72,7.43,84694,148661,7082080,184877,8095,85560064,112,85744544,40.886185,60.0,67.0,0,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
3,2,B,slot,46.03,273.60,7.11,81418,144070,7100616,183699,8985,84991616,104,85234248,40.642857,60.0,69.0,2,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
4,1,B,slot,46.86,280.16,7.56,81075,145687,7097964,181565,9051,84919864,120,85062480,40.560951,61.0,69.0,0,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
4,2,A,0,47.11,287.99,8.93,78504,141478,7096844,180860,7712,84477616,104,84681064,40.379078,63.0,72.0,0,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
5,1,A,0,46.93,282.37,8.91,81869,144297,7090564,181543,7552,85042400,96,85214376,40.633381,63.0,69.0,0,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
5,2,B,slot,47.36,287.09,8.38,77466,142322,7102556,179477,9612,84279616,112,84463584,40.275375,62.0,70.0,0,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
6,1,B,slot,47.81,290.67,8.98,77368,142017,7095528,179936,9320,84275472,120,84420976,40.255058,62.0,74.0,1,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
6,2,A,0,46.64,287.91,7.40,73646,138318,7112568,180234,7767,83612632,112,83733256,39.927128,63.0,71.0,2,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
7,1,A,0,47.85,295.16,8.87,76088,139422,7103632,179211,7906,84046872,96,84198400,40.148926,63.0,70.0,0,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
7,2,B,slot,47.97,291.66,8.38,75384,133592,7114292,180019,8244,83915528,112,84045920,40.076218,63.0,70.0,0,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
8,1,B,slot,48.77,301.52,9.35,73705,136205,7099848,178182,9007,83626360,104,83773656,39.946392,64.0,71.0,0,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
8,2,A,0,47.34,292.45,8.07,75000,137586,7126168,179823,7541,83855928,96,83979864,40.044720,63.0,73.0,4,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
9,1,A,0,47.42,296.13,6.80,71108,135506,7135324,179559,7471,83192536,96,83333816,39.736660,64.0,71.0,0,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
9,2,B,slot,48.10,298.37,7.91,71968,134570,7116188,177991,8323,83332496,112,83421368,39.778408,64.0,71.0,6,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
10,1,B,slot,48.16,295.98,8.02,73099,136062,7132324,178274,11095,83526376,88,83791024,39.954674,65.0,71.0,0,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
10,2,A,0,48.25,303.81,8.07,69516,133309,7107532,177769,8216,82918272,96,83060184,39.606182,64.0,72.0,0,b6cf063007cd61da094a9bf5000df2ff8ef74ba74efe658a16fd6d2de986d81f
